freq,airpol,indic_env,unit,geo\TIME_PERIOD	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,CH4_CO2E,AEMIS_CONS_FP,KG_HAB,AT	2386.351 	2550.59 	2379.695 	2329.86 	2287.467 	2032.605 	1953.016 	1997.562 	2233.694 	2231.764 	1867.168 	1963.864 	1797.316 
A,CH4_CO2E,AEMIS_CONS_FP,KG_HAB,BE	2375.975 	2144.288 	2034.169 	1942.186 	2034.26 	1848.04 	1880.401 	1805.816 	1963.429 	1904.289 	1657.285 	1870.24 	1806.381 
A,CH4_CO2E,AEMIS_CONS_FP,KG_HAB,BG	1254.152 	1239.382 	1253.589 	1150.386 	1260.703 	1229.196 	1229.001 	1279.196 	1311.933 	1435.4 	1442.508 	1527.506 	2163.663 
A,CH4_CO2E,AEMIS_CONS_FP,KG_HAB,CY	3423.176 	3015.299 	2649.796 	2485.944 	2824.164 	2771.421 	2927.18 	3140.533 	3091.201 	3075.904 	2726.482 	2745.511 	2942.071 
A,CH4_CO2E,AEMIS_CONS_FP,KG_HAB,CZ	1935.007 	2075.049 	1839.644 	1761.73 	1653.956 	1699.021 	1542.514 	1693.694 	1694.453 	1715.271 	1566.464 	1759.978 	1803.333 
A,CH4_CO2E,AEMIS_CONS_FP,KG_HAB,DE	2129.537 	2563.581 	2267.901 	2180.702 	2122.13 	1894.877 	1741.298 	1894.291 	1946.245 	1993.395 	1832.876 	1891.671 	1983.336 
A,CH4_CO2E,AEMIS_CONS_FP,KG_HAB,DK	1724.107 	1963.755 	1631.618 	1853.511 	1928.887 	1656.307 	1695.012 	1737.66 	1855.162 	1836.055 	1762.005 	1776.357 	1678.947 
A,CH4_CO2E,AEMIS_CONS_FP,KG_HAB,EE	2074.329 	1951.339 	1857.645 	1878.957 	1879.835 	1838.797 	1708.753 	1166.248 	1702.182 	1790.031 	1584.442 	1302.992 	1533.365 
A,CH4_CO2E,AEMIS_CONS_FP,KG_HAB,EL	2689.612 	2357.306 	2404.499 	2261.163 	1897.849 	1719.619 	1722.005 	1509.414 	1933.609 	1893.183 	2246.566 	2356.202 	2725.673 
A,CH4_CO2E,AEMIS_CONS_FP,KG_HAB,ES	2307.697 	2306.796 	2189.186 	1882.939 	1877.31 	1855.006 	1979.406 	2053.838 	2234.669 	2143.614 	1846.252 	2013.496 	2191.882 
