freq,geo,unit\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,AT,G_KM	168 	165.6 	164.4 	163.8 	161.9 	162.1 	163.7 	162.9 	158.1 	150.2 	144 	138.7 	135.7 	131.6 	128.5 	123.7 	120.4 	146.3 be	149.1 e	152.1 e	135.7 	116.1 	112 	104.1 
A,BE,G_KM	166.5 	163.7 	161.1 	158.1 	156.5 	155.2 	153.9 	152.8 	147.8 	142.1 	133.4 	127.2 	128 	124 	121.3 	117.9 	115.9 	140.5 be	144.7 e	147.3 e	130.6 	117 	104.5 	85.3 
A,BG,G_KM	: 	: 	: 	: 	: 	: 	: 	171.6 	171.5 	172.1 	158.9 	151.4 	149.2 	141.7 	135.9 	130.3 	125.8 	153 be	153.6 e	157.8 e	147.1 	139.5 	134.3 	129.4 
A,CY,G_KM	: 	: 	: 	: 	173.4 	173 	170.1 	170.3 	165.6 	160.7 	155.8 	149.9 	144.3 	139.2 	129.8 	125.7 	123.5 	148.1 be	149.6 e	153.6 e	151.9 	145.9 	136.8 	126.3 
A,CZ,G_KM	: 	: 	: 	: 	154 	155.3 	154.2 	154.2 	154.4 	155.5 	148.9 	144.5 	140.8 	134.6 	131.6 	126.3 	121.2 	150.4 be	152.7 e	156 e	144.9 	138.8 	137.7 	136 
A,DE,G_KM	182.2 	179.5 	177.4 	175.9 	174.9 	173.4 	172.5 	169.5 	164.8 	154 	151.1 	145.6 	141.6 	136.1 	132.5 	128.3 	126.9 	154.2 be	157 e	159 e	136 	113.5 	105.9 	113 
A,DK,G_KM	175.7 	172.9 	170 	169 	165.9 	163.7 	162.5 	159.8 	146.4 	139.1 	126.2 	125 	117 	112.7 	110.2 	106.2 	106 	129.8 be	132.8 e	135.6 e	116.4 	92.3 	86.3 	72.8 
A,EE,G_KM	: 	: 	: 	: 	179 	183.7 	182.7 	181.6 	177.4 	170.3 	162 	156.9 	150.3 	147 	140.9 	137.2 	133.9 	161 be	160.5 e	157.7 e	147.6 	142.6 	141.6 	134.6 
A,EL,G_KM	180.3 	166.5 	167.8 	168.9 	168.8 	167.4 	166.5 	165.3 	160.8 	157.4 	143.7 	132.7 	121.1 	111.9 	108.2 	106.4 	106.3 	131.9 be	135 e	140.1 e	130.5 	119.8 	118 	112.7 
A,ES,G_KM	159.2 	156.8 	156.4 	157 	155.3 	155.3 	155.6 	153.2 	148.2 	142.2 	137.9 	133.8 	128.7 	122.4 	118.6 	115.3 	114.4 	139.4 be	143.1 e	147 e	135.5 	126 	121.5 	117.5 
